case_id,sentence,label
1996_T_169,s 48 provides for registered users which reads thus 48 registered users 1 subject to the provisions of section 49a person other than the registered proprietor of a trade mark may be registered as the registered user thereof in respect of any or all of the goods in respect of which the trade mark is registered otherwise than as a defensive trade mark but the central government may by rules made in this behalf provide that no application for registration as such shall be entertained unless the agreement between the parties complies with the conditions laid down in the rules for preventing trafficking in trade marks 2 permitted use of a trade mark shall be deemed to be use by the proprietor thereof and shall be used by a person the proprietor for the purpose of s 46 or for any other purpose for which such use is material under this act or any other law.,O
2004_I_24,the standing orders governing the terms and conditions of service must be read subject to the constitutional limitations wherever applicable.,O
1980_W_3,immediately after the award was pronounced while the iron was still hot as it were the employees apparently realised that the employer might take advantage of the circumstance that it was not clearly mentioned in the award that all the employees were to get additional pay of rs 150 and rs 100 respectively and might contend that the tribunal had only revised the wage scales by increasing the salary on entry into the service and restructuring the scale of pay and never granted any ad hoc increase of salary to all employees.,O
1971_S_1,even if it were so the sanction can not be held to be had on that account.,O
1994_M_69,support was sought for the argument from the decision of this court in topandas case 1963 indlaw sc 379 supra.,O
2009_B_16,sections 2223 and 521ai and l of the act which are relevant for our purpose read as under.,O
2004_I_24,it was held that the services of the appellants can not be directed to be regularized in services.,O
1987_C_108,administrative quasi judicial decisions tend to merge in legislative activity and conversely legislative activity tends to fade into and present an appearance of an administrative or quasi judicial activity.,O
2006_A_136,iiwhether individual liabilities of the appellants ought to have been separately considered by the special court as not a part of harshad mehta group.,O
1989_A_55,i ve engineer o m surat copy f w c s to.,O
2014_J_33,for the reason aforesaid the impugned order dated 1st march2011 passed by the high court in w p no 10220 of 1996 etc cannot be upheld.,O
1994_M_69,accordingly there can not be a merger of a lease and a mortgage in respect of the same property since neither of them is a higher or lesser estate than the other.,O
2006_A_136,we therefore do not interfere with that part of the order whereby and wherewith the auction sale as regard commercial properties had been directed by the learned judge special court.,O
2011_I_16,long delay in disposal of appeal or any other factor may not be a ground for reduction of sentence particularly when the statute prescribes minimum sentence.,O
1995_S_317,in our opinion the designated court fell in error in holding that an offence under section 3 of tada had been committed by the accused appellants in the established facts and circumstances of this case.,O
2004_I_24,conclusion.,O
2007_U_18,there is however a hint in the testimony of pw14 inspector harjinder pal singh that his enquiries had revealed that the accused was having illicit relations with mukhtiar kaur and we can assume that some thing untoward had happened which could have triggered the volatile and hostile incident.,O
2008_I_54,but if to the statement the words be added with which stabbed athese words are inadmissible since they do not related to the discovery of the knife in the house of the informant.,O
1994_S_246,thereby the action of the state is in defiance of the direction issued by this court.,O
2009_S_146,1 2 8 and 18 as eye witnesses to the occurrence.,O
2007_S_608,i can not assign any reason why police did not write about it in my statement.,O
2009_B_16,the derivative work produced by the author must have some distinguishable features and flavour to raw text of the judgments delivered by the court.,O
1953_S_23,41 and 401 grey street and appointed his brother jogendra the sole executor thereof.,O
1987_S_26,all these tests were borne in mind by the court of small causes bombay in the appeal from the decision of the learned trial judge.,O
1963_S_59,but then section 235 1 provides that if in any one series of acts so connected together as to form the same transaction more offences than one are committed by the same person he may be charged with and tried at one trial for every such offence.,O
2007_C_121,particularly the following a proprietary right in a mark sought to be registered can be obtained in a number of ways.,O
2009_S_146,it was not necessary for him to take that step only on the basis of a first information report.,O
1971_S_1,c that by corrupt or illegal means and by abusing his position as a public servant he obtained pecuniary advantage of rs 2500 as the value of the crops to be cut from the land andor he dishonestly or fraudulently misappropriated that sum by converting it into his own use instead of depositing the said sale price in the govt.,O
1987_C_108,nevertheless the criterion adopted must be reasonable.,O
1994_M_69,2 no order of the mamlatdar the tribunal the collector or the maharashtra revenue tribunal or the state government made under this act shall be questioned in any civil or criminal court.,O
1987_M_123,we are also not concerned with this aspect of the matter inasmuch as the same is the subject matter of another appeal being civil appeal no 4406 of 1986. we are concerned in this appeal with the right of abdul khader.,O
2000_C_151,we shall now refer to the above judgment dealing with the question of approval for establishing technical institutions under s 10k of the aicte act.,O
1971_S_1,it may also be stated that the contractor had written to the garrison engineer on 28 2 63 requesting him to hand over immediately the possession of the remaining portion of the land so that excavation work is not held up.,O
2006_A_136,a question may further arise as to whether the learned judge was correct in considering the individual liabilities of the notified parties as the liabilities of the group.,O
1994_S_246,therefore they are entitled to only 33 13 per cent quota.,O
1963_S_59,the whole question has again been examined by this court recently in birichh bhuian v the state of bihar subba rao j who delivered the judgment of the court has stated the position thus even if we were to assume that there has been a misjoinder of charges in violation of the provisions of sections 233 to 239 of the code the high court was incompetent to set aside the conviction of the respondents without coming to the definite conclusion that misjoinder had occasioned failure of justice.,O
2009_S_146,in any event the destination of the bus was the said village and they were bound to take the bus thereat.,O
1963_S_59,various sentences were passed against them by the additional sessions judge visakhapatnam who presided over the court.,O
1987_S_26,april1965 this last partnership deed was executed by the appellant and original defendants.,O
2010_S_431,when the charge was that the accused attempted to commit trespass into the house of prakashi devi with intent to outrage the modesty of prakashi devi the conclusion of the appellate court and the high court that there was no failure of justice if he is punished for the offence of having assaulted sheela devi and outraging her modesty is opposed to principles of fair play and natural justice embodied in sections 211212215 and 464 of the code.,O
2004_I_24,the said dispute was referred for adjudication of the labour court indore by the state of madhya pradesh on the following questions.,O
1973_S_68,an order his right to the value of those trees had to be adjudged and paid.,O
2009_B_16,1000 00 2 directing the defendants to pay to the plaintiff damages of rs 15000 towards infringement of her copyright on account of stating or performing abhimanyu vadha on 18 9 2001 at new delhi.,O
2001_S_1131,at 7 25 a m on 19 3 1991 first information report was lodged by bd at police station kotputli.,O
2014_R_41,jitendra is her step son and the deceased bhavna is the wife of jitendra.,O
1976_T_9,we are in agreement with the course adopted by the high court and the reasoning which has prevailed with it.,O
1971_S_1,before we deal with the contentions urged on behalf of the appellant it is necessary to have a clear picture of certain broad features of the case.,O
1971_S_1,there is also credible evidence that possession of the acquired land was not handed over to the contractor till late in march 63 though it was handed over to and taken over by the appellant on 13 2 63. the khasra girdawari exhibit p 3 would show that there was a crop of sargon mustard gram and lusan at any rate on 20th march 63 at a time when the land has been shown therein to have been in possession of the military authorities.,O
2011_S_308,the judicial pronouncements on this aspect are numerous only a few of them may be noted here.,O
1987_C_108,the third observation we wish to make is price fixation is more in the nature of a legislative activity than any other.,O
1987_C_108,we mentioned that the price fixed by the government may be questioned on the ground that the considerations stipulated by the order as relevant were not taken into account.,O
2007_S_632,an inquiry was therefore made to find out the authority which had issued the said offers of appointments.,O
1977_P_19,on receipt of the notice the employer shall permit such woman to absent herself from the establishment until the expiry of six weeks after the day of her delivery.,O
2008_I_54,p 12 dated 22 9 2003 made before p w 42 and subbiah and p w 24led to recovery of m dollar m 0 38 and key chain with key chain in m 0 39 from the toilet in the room of the accused.,O
1994_M_69,then there will be no question of returning the plaint for presentation to the proper court for the plaint as framed would not justify the other kind of court to grant him the relief.,O
1963_S_59,mr bhimasankaram supports the reason given by the high court for coming to the conclusion that there was a misjoinder of charges.,O
1996_T_169,the trade mark should be taken off and struck out form the register of trade marks in respect of any goods in respect of which the trade mark is registered sub s 3 enables the registered proprietor to show special circumstances for the non use of the trade mark due to which circumstances in the trade he could not use the trade mark for the above period and not with any intention to abandon the use of trade mark or not to use the trade mark in relation to good to which the application for rectification relates.,O
1963_S_59,the new provision however does no more than lift the ban and does not impose a duty on the court to draw the attention of an accused person to its contents.,O
2006_A_136,in fact one of the contentions raised on behalf of the appellants had been that if commercial properties are sold there would be no need to sale the residential properties.,O
2010_J_55,15 rpc 677which has been reproduced in the report.,O
1987_C_108,paragraph 34a requires a manufacturer commencing production of the bulk drug specified in the first or second schedule the price of which has already been notified by the government not to sell the bulk drug at a price exceeding the notified price.,O
2004_I_24,despite the same the high court went into the question of applicability of the said act and held that the 1961 act and the 1963 rules had no application.,O
2011_S_308,ltd and ors 2007.,O
2000_C_151,u s 10 of the act it is stated that it is the duty of the council constituted under the act to take all steps as the said council might think fit for ensuring coordinated and integrated develop ment of technical education and maintenance of standards.,O
1963_S_59,it is the prosecution case that as secretary of vesco and the resident representative of the managing agents the respondent No i was attending to the day to day affairs of vesco which included the receiving of all sums of money due to vesco spending money for the purpose of vesco attending to the appointment supervision and control of the staff of vesco purchasing materials required for the purpose of vesco and supervising over the accounts of vesco.,O
2008_P_8,both the findings of the high court which we have noticed hereinbefore are findings on question of law and in that view of the matter the contention of mr sudhir chandra that the merit of the matter is yet to be gone into by the board can not be a ground for ignoring the submissions made at the bar.,O
2007_S_608,she has stated in her examination in chief that bhimabai was being ill treated by the appellants and the reason for ill treatment was that they were demanding money to be brought from her parental home.,O
2006_A_136,it does not appear that claims inter se between the entities within the so called group had ever been taken into consideration.,O
2008_S_1411,he has no enforceable claim against the state at this juncture.,O
2006_A_136,civil appeal No 2795 of 2004 and the kedarnath jute mfg.,O
2011_I_16,however proviso to sub s 2 of s 5 gives power to the court that for any special reasons to be recorded in writing impose a sentence of imprisonment of less than one year.,O
1987_C_108,this information obtained from the various manufacturers was taken into account and a report was then obtained from the bureau of industrial costs and prices a high powered expert body specially constituted to undertake the study of industrial cost structures and pricing problems and to advise the government.,O
2009_B_16,the new encyclopaedia britannica vol iv 15th edition provides the following information about dramatic literature.,O
2011_I_16,in order to substantiate the claim with the regard to the above learned senior counsel for the appellant has relied on the decision of this court in bechaarbhai s prajapati vs state of gujarat2008 11 scc 163 2008 indlaw sc 297 and based on the same requested this court to modify the sentence to the extent of period already undergone.,O
1953_L_1,but there were other indications in that will showing that a widow 's estate had been given.,O
2007_U_18,some suspicions of rape could perhaps have been raised had some tell tale injuries been detected on mukhtiar kaur 's person but we find that the two injuries other than the gun shot wounds i e injury no 3 being on the left pinna and.,O
2007_S_608,when she had visited her parental home on the last occasion she had said that her husband appasaheb had asked her to bring rs 1000 1200 for domestic expenses and for purchasing manure as he had no sufficient money.,O
1963_S_59,this court held that the charge as framed disclosed a single conspiracy although spread over several years that there was one object of the conspiracy and that was to cheat the members of the public that the fact that in the course of years other joined the conspiracy or that several incidents of cheating took place in pursuance of the conspiracy did not have the effect of splitting the conspiracy into several conspiracies.,O
2001_S_1131,there is no evidence adduced by the prosecution to hold that soon after the date of the offence the accused was found missing from his residence or the place of his employment and was not available though searched at the place or places where normally he ought to have been.,O
2008_A_260,explanation for the purposes of this clause an invention relating to a process for which a patent is claimed shall be deemed to have been publicly known or publicly used in india before the priority date of the claim if a product made by that process had already been imported into india before that date except where such importation has been for the purpose of reasonable trial or experiment only b that the invention so far as claimed in any claim of the complete specification is obvious and clearly does not involve any inventive step having regard to the matter published as mentioned in cl b or having regard to what was used in india before the priority date of the applicant 's claim c that the subject of any claim of the complete specification is not an invention within the meaning of this act or is not patentable under this act d that the complete specification does not sufficiently and clearly describe the invention or the method by which it is to be performed e that the applicant has failed to disclose to the controller the information required by s 8 or has furnished the information which in any material particular was false to his knowledge f that in the case of a convention application the application was not made within twelve months from the date of the first application for protection for the invention made in a convention country by the applicant or a person from whom he derives title.,O
